jurisdiction_code,jurisdiction_name,due_date_mode,due_date,offset_months,offset_days,offset_years,title,category,notes,source_url,fiscal_year_end,effective_from,effective_to
GR,Greece,relative,,15,0,,GloBE Information Return - Standard,,"Standard Filing

Designated entity form is at: https://www.aade.gr/sites/default/files/2026-03/parartima_entypo_gnostopoihshs_GIR.pdf",,,01/01/2024,
GR,Greece,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Yes - Section 48(4) same deadlines,,,01/01/2024,
GR,Greece,relative,,18,0,,GloBE Information Return - Transitional,,"Only for Transitional Year Filing

Designated entity form is at: https://www.aade.gr/sites/default/files/2026-03/parartima_entypo_gnostopoihshs_GIR.pdf",,,01/01/2024,
GR,Greece,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Yes - Section 48(4) same deadlines,,,01/01/2024,
GR,Greece,relative,,16,0,,GloBE Tax Return,GloBE Tax Return (Standard),Article 49 of the Law requires submission of an additional self- assessment return (a ‘GloBE Top-Up Tax Return’) by the last working day of the month following the month of the GIR filing deadline.,,,01/01/2024,
GR,Greece,relative,,19,0,,GloBE Tax Return (Transitional),GloBE Tax Return (Transitional),Article 49 of the Law requires submission of an additional self- assessment return (a ‘GloBE Top-Up Tax Return’) by the last working day of the month following the month of the GIR filing deadline.,,,01/01/2024,
GR,Greece,relative,,16,0,,Payment,Payment (Standard),Article 49 of the Law provides that payment of top-up tax must be made by the last working day of the month following the deadline for submitting the top-up tax return.,,,01/01/2024,
GR,Greece,relative,,19,0,,Payment (Transitional),Payment (Transitional),Article 49 of the Law provides that payment of top-up tax must be made by the last working day of the month following the deadline for submitting the top-up tax return.,,,01/01/2024,
GU,Guernsey,relative,,15,0,,DMTT Return,DMTT Return (Standard),"Section 24 of the Regulation requires the submission of a QDMTT/DTT tax return by the Domestic Filing Entity of an MNE Group on behalf of all Domestic Constituent Entities, Domestic Joint Ventures and Domestic Joint Venture Subsidiaries. The deadline is the GIR filing deadline.",,,01/01/2025,
GU,Guernsey,relative,,18,0,,DMTT Return (Transitional Year),DMTT Return (Transitional),"Section 24 of the Regulation requires the submission of a QDMTT/DTT tax return by the Domestic Filing Entity of an MNE Group on behalf of all Domestic Constituent Entities, Domestic Joint Ventures and Domestic Joint Venture Subsidiaries. The deadline is the GIR filing deadline.",,,01/01/2025,
GU,Guernsey,relative,,15,0,,GloBE Information Return - Standard,,Standard Filing,,,01/01/2025,
GU,Guernsey,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),"Yes, Section 23(5) - no deadline provides yet.",,,01/01/2025,
GU,Guernsey,relative,,18,0,,GloBE Information Return - Transitional,,Only for Transitional Year Filing,,,01/01/2025,
GU,Guernsey,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),"Yes, Section 23(5) - no deadline provides yet.",,,01/01/2025,
GU,Guernsey,relative,,15,0,,GloBE Tax Return,GloBE Tax Return (Standard),"Section 25 of the Regulation requires the submission of an IIR/MTT tax return by the Domestic Filing Entity of an MNE Group on behalf of all Domestic Constituent Entities, Domestic Joint Ventures and Domestic Joint Venture Subsidiaries. The deadline is the GIR filing deadline. This is required where the MNE group is in scope (ie it meets the 750 million euro threshold)",,,01/01/2025,
GU,Guernsey,relative,,18,0,,GloBE Tax Return (Transitional Year),GloBE Tax Return (Transitional),"Section 25 of the Regulation requires the submission of an IIR/MTT tax return by the Domestic Filing Entity of an MNE Group on behalf of all Domestic Constituent Entities, Domestic Joint Ventures and Domestic Joint Venture Subsidiaries. The deadline is the GIR filing deadline. This is required where the MNE group is in scope (ie it meets the 750 million euro threshold)",,,01/01/2025,
GU,Guernsey,relative,,15,0,,Payment,Payment (Standard),Section 52 of the Regulation provides that the DTT and MTT for each Entity are due for payment by the deadline for submitting returns.,,,01/01/2025,
GU,Guernsey,relative,,18,0,,Payment (Transitional),Payment (Transitional),Section 52 of the Regulation provides that the DTT and MTT for each Entity are due for payment by the deadline for submitting returns.,,,01/01/2025,
GU,Guernsey,relative_fy_start,,,365,,Registration,Registration (Standard),"The deadline for registration is the later of:

• 12 months from the start of the first Fiscal Year commencing on or after 1 January 2025 of the MNE Group of which any of the following is a member:

(i) a Domestic Constituent Entity;

(ii) a Domestic Joint Venture;

(iii) a Domestic Joint Venture Subsidiary;

• 6 months from the date that such an Entity becomes a member of the MNE Group.

Guernsey has opened its Pillar 2 Registration Portal, to appoint the Domestic Filing Entity and register Domestic Constituent Entities.",https://www.gov.gg/pillar-two,,01/01/2025,
HK,Hong Kong,relative,,15,0,,GloBE Information Return - Standard,,Standard Filing,https://www.ird.gov.hk/eng/p2portal/resources.htm#faq,,01/01/2025,
HK,Hong Kong,relative,,6,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),"Yes, Schedule 63(5) - 6 months after the reporting year - see registration above.",,,01/01/2025,
HK,Hong Kong,relative,,18,0,,GloBE Information Return - Transitional,,Only for Transitional Year Filing,https://www.ird.gov.hk/eng/p2portal/resources.htm#faq,,01/01/2025,
HK,Hong Kong,relative,,6,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),"Yes, Schedule 63(5) - 6 months after the reporting year - see registration above.",,,01/01/2025,
HK,Hong Kong,relative,,18,0,,GloBE Tax Return (Transitional),GloBE Tax Return (Transitional),Schedule 63(3) states that an subject to the GloBE rules is required to submit a top-up tax no later than 15 months after the end of the tax period (increased to 18 months for the first year).,https://www.ird.gov.hk/eng/p2portal/resources.htm#faq,,01/01/2025,
HK,Hong Kong,relative,,15,0,,GloBETax Return,GloBE Tax Return (Standard),Schedule 63(3) states that an subject to the GloBE rules is required to submit a top-up tax no later than 15 months after the end of the tax period (increased to 18 months for the first year).,https://www.ird.gov.hk/eng/p2portal/resources.htm#faq,,01/01/2025,
HK,Hong Kong,relative,,16,0,,Payment,Payment (Standard),"The payment due date is one month after the expiry of the return filing deadline or the date of the notice of assessment, whichever is the later.

For UTPR and HKMTT purposes, the group can designate one paying entity or more.

However, if any of the designated paying entity does not pay the top-up tax payable, all Hong Kong constituent entities will be jointly and severally liable for the whole amount of top-up tax payable of the group.",,,01/01/2025,
HK,Hong Kong,relative,,19,0,,Payment (Transitional Year),Payment (Transitional),"The payment due date is one month after the expiry of the return filing deadline or the date of the notice of assessment, whichever is the later.

For UTPR and HKMTT purposes, the group can designate one paying entity or more.

However, if any of the designated paying entity does not pay the top-up tax payable, all Hong Kong constituent entities will be jointly and severally liable for the whole amount of top-up tax payable of the group.",,,01/01/2025,
HK,Hong Kong,relative,,6,0,,Registration,Registration (Standard),"Schedule 63(5) provides that each Hong Kong constituent entity of an in-scope MNE group will be required to file an annual notification (“top-up tax notification”).

The top-up tax notification is required for notifying the Tax authority that an MNE group has come within the scope of the global minimum tax and HKMTT, as well as identifying the entity and jurisdiction from which Hong Kong will receive the GIR and the local entities for which the obligation to file the top-up tax return will be lifted when certain conditions are met.

The top-up tax notification is to be filed within 6 months after the last day of the reporting fiscal year.

In-scope MNE groups will have to register their dedicated business accounts under the BTP for accessing the Pillar Two Portal. The individual authorised to submit top-up tax notifications and top-up tax returns has to use his/her e-cert (Organisational) with AEOI Functions for authentication.

Information on BTP Registration

The Guidance states that each MNE group, HK standalone JV or JV group will need to apply for a unique group code.

To obtain a group code, an “Application for Group Code in respect of Multinational Enterprise Group, HK Standalone JV or JV Group” (Form IR1485) should be submitted to the Hong Kong Revenue Department in paper form. https://www.ird.gov.hk/eng/paf/for.htm#ir1485",https://www.ird.gov.hk/eng/p2portal/resources.htm#faq,,01/01/2025,
HU,Hungary,relative,,15,0,,GloBE Information Return - Standard,,Standard Filing,,,01/01/2024,
HU,Hungary,relative,,21,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Yes - 44(4) within six months of the date of submission of the return.,,,01/01/2024,
HU,Hungary,relative,,18,0,,GloBE Information Return - Transitional,,Only for Transitional Year Filing,,,01/01/2024,
HU,Hungary,relative,,24,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Yes - 44(4) within six months of the date of submission of the return.,,,01/01/2024,
HU,Hungary,relative,,15,0,,GloBE Tax Return,GloBE Tax Return (Standard),Article 44(2) of the Law requires submission of an additional self- assessment return (a ‘GloBE Top-Up Tax Return’) by the GIR filing deadline.,,,01/01/2024,
HU,Hungary,relative,,18,0,,GloBE Tax Return (Transitional),GloBE Tax Return (Transitional),Article 44(2) of the Law requires submission of an additional self- assessment return (a ‘GloBE Top-Up Tax Return’) by the GIR filing deadline.,,,01/01/2024,
HU,Hungary,relative,,15,0,,Payment,Payment (Standard),Article 44(10) of the law requires payment of top-up tax by the GIR filing deadline.,,,01/01/2024,
HU,Hungary,relative,,18,0,,Payment (Transitional Year),Payment (Transitional),Article 44(10) of the law requires payment of top-up tax by the GIR filing deadline.,,,01/01/2024,
HU,Hungary,relative,,11,20,,QDMTT Advance Payment,Payment (Standard),"Section 32 of the 2024 Autumn Tax Package (as approved by Parliament)provides that for QDMTT purposes, the group member (or a designated filing entity) must submit an advance tax declaration and pay the QDMTT by the 20th day of the eleventh month following the last day of the relevant tax year.This applies for the first time in relation to the tax year starting in 2024.

On 21 October, 2025 Form 24GLBADO for the Advance QDMTT Tax Declaration was published on the ONYA platform and is available for submission.",https://nav.gov.hu/pfile/file?path=/nyomtatvanyok/letoltesek_egyeb/nyomtatvanytervezetek/24glbado.pdf,,01/01/2024,
HU,Hungary,relative,,2,0,,Registration,Registration (Standard),"Section 44(1) of the law provides that a Hungarian entity within the scope of the GloBE rules (or a designated domestic entity acting on its behalf)  is required to notify the tax authority within 12 months from the beginning of the tax year concerned (ie December 31, 2024 for the 2024 tax year). Section 26 of the amendment law in the 2025 Spring Tax Package (approved on June 19, 2025), amends the registration deadline to the last day of the second month following the last day of the tax year.

On November 15, 2024, the Hungarian Tax Authority issued draft forms for the registration notification under Article 44(1) of the Minimum Tax Act, and the appointment of a domestic filing entity under Article 3(47).

In December 2024, updated instructions were provided and the form is now available via the ONYA web portal via the Tax Authority e-services website.",https://onya.nav.gov.hu/#!/login,,01/01/2024,
IN,Indonesia,relative,,4,0,,DMTT Return,DMTT Return (Standard),Section 65(11) of the Regulation requires the submission of a DMTT return within 4 months of the end of the following tax year. Under Section 69(2) this is extended by 2 months in the transitional year.,,,01/01/2025,
IN,Indonesia,relative,,6,0,,DMTT Return (Transitional),DMTT Return (Transitional),Section 65(11) of the Regulation requires the submission of a DMTT return within 4 months of the end of the following tax year. Under Section 69(2) this is extended by 2 months in the transitional year.,,,01/01/2025,
IN,Indonesia,relative,,15,0,,GloBE Information Return - Standard,,Standard Filing,,,01/01/2025,
IN,Indonesia,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Yes included in Regulation PER-6/PJ/2026 - standard GIR deadlines,,,01/01/2025,
IN,Indonesia,relative,,18,0,,GloBE Information Return - Transitional,,Only for Transitional Year Filing,,,01/01/2025,
IN,Indonesia,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Yes included in Regulation PER-6/PJ/2026 - standard GIR deadlines,,,01/01/2025,
IN,Indonesia,relative,,4,0,,GloBE Tax Return,GloBE Tax Return (Standard),Section 65(2)/12) of the Regulation requires the submission of an IIR/UTPR/ return within 4 months of the end of the following tax year. Under Section 69(2) this is extended by 2 months in the transitional year.,,,01/01/2025,
IN,Indonesia,relative,,6,0,,GloBE Tax Return (Transitional Year),GloBE Tax Return (Transitional),Section 65(2)/12) of the Regulation requires the submission of an IIR/UTPR/ return within 4 months of the end of the following tax year. Under Section 69(2) this is extended by 2 months in the transitional year.,,,01/01/2025,
IN,Indonesia,relative,,12,0,,Payment,Payment (Standard),"Under Section 65(17) of the Regulation, payment of top-up tax must be made by the end of the tax year following the relevant fiscal year.",,,01/01/2025,
IN,Indonesia,relative,,15,0,,Registration,Registration (Standard),Section 65(5) of the Regulation provides that each Constituent Entity of the MNE Group within the scope of the GloBE rules in Indonesia must submit a GloBE Notification to the Director General of Taxes within 15 months after the end of the Tax Year. This must be submitted as an attachment to the Annual Income Tax Return. The notification is not required if a GloBE Information Return has been submitted.,,,01/01/2025,
IE,Ireland,relative,,15,0,,DMTT Return,DMTT Return (Standard),Section 111AAN of the Law requires submission of a DMT self- assessment return by the GIR filing deadline.,https://www.revenue.ie/en/companies-and-charities/pillar-two/index.aspx,,01/01/2024,
IE,Ireland,relative,,18,0,,DMTT Return (Transitional Year),DMTT Return (Transitional),Section 111AAN of the Law requires submission of a DMT self- assessment return by the GIR filing deadline.,https://www.revenue.ie/en/companies-and-charities/pillar-two/index.aspx,,01/01/2024,
IE,Ireland,relative,,15,0,,GloBE Information Return - Standard,,Standard Filing,https://www.revenue.ie/en/companies-and-charities/pillar-two/index.aspx,,01/01/2024,
IE,Ireland,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Yes 111AAI(2) by the GIR filig date,,,01/01/2024,
IE,Ireland,relative,,18,0,,GloBE Information Return - Transitional,,Only for Transitional Year Filing,https://www.revenue.ie/en/companies-and-charities/pillar-two/index.aspx,,01/01/2024,
IE,Ireland,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),Yes 111AAI(2) by the GIR filig date,,,01/01/2024,
IE,Ireland,relative,,15,0,,GloBE Tax Return,GloBE Tax Return (Standard),"Section 111AAJ of the Law requires submission of an IIR self- assessment return by the GIR filing deadline.

Section 111AAK of the Law requires submission of a UTPR self- assessment return by the GIR filing deadline.",https://www.revenue.ie/en/companies-and-charities/pillar-two/index.aspx,,01/01/2024,
IE,Ireland,relative,,18,0,,GloBE Tax Return (Transitional Year),GloBE Tax Return (Transitional),"Section 111AAJ of the Law requires submission of an IIR self- assessment return by the GIR filing deadline.

Section 111AAK of the Law requires submission of a UTPR self- assessment return by the GIR filing deadline.",https://www.revenue.ie/en/companies-and-charities/pillar-two/index.aspx,,01/01/2024,
IE,Ireland,relative,,15,0,,Payment,Payment (Standard),Article 111AAS of the Law requires payment of top-up tax by the GIR filing deadline.,,,01/01/2024,
IE,Ireland,relative,,18,0,,Payment (Transitional Year),Payment (Transitional),Article 111AAS of the Law requires payment of top-up tax by the GIR filing deadline.,,,01/01/2024,
IE,Ireland,relative,,12,0,,Registration,Registration (Standard),"Section 111AAH of the Law provides that an Irish entity subject to top-up tax (either under the IIR, UTPR or DMT) is required to notify the tax authority within 12 months from the last day of the first fiscal year during which it is a relevant parent entity, immediately following a fiscal year for which it was not a relevant parent entity. Amended Section 111AAH of the Finance Act 2024 provides that the registration date is December 31, 2025, where the registration date is earlier than 31 December 2025.

On September 8, 2025, Ireland released Revenue eBrief No. 170/25 with detailed information on the registration process. https://www.revenue.ie/en/tax-professionals/tdm/income-tax-capital-gains-tax-corporation-tax/part-04a/04A-01-01A.pdf",https://www.revenue.ie/en/companies-and-charities/pillar-two/index.aspx,,01/01/2024,
IE,Ireland,fixed,28/02/2026,,,,Registration (Transitional),Registration (Transitional),"On December 18, 2025, the Irish Revenue issued Revenue eBrief No. 244/25 which provides for an extension in the Pillar 2 registration deadline to February 28, 2026 (from December 31, 2025).

On September 8, 2025, Ireland released Revenue eBrief No. 170/25 with detailed information on the registration process. https://www.revenue.ie/en/tax-professionals/tdm/income-tax-capital-gains-tax-corporation-tax/part-04a/04A-01-01A.pdf",https://www.revenue.ie/en/companies-and-charities/pillar-two/index.aspx,31/12/2024,01/01/2024,
IM,Isle of Man,relative,,18,0,,Below Threshold Notification,Other Notifications (Transitional),"Where an MNE group does not meet the 750 million euro revenue threshold in Article 1.1 of the OECD Model Rules, Section 35 of the law provides that the Domestic Filing Entity must submit a below-threshold notification to the Tax authority in respect of that Fiscal Year. The filing deadline is the GIR filing deadline.",,,01/01/2025,
IM,Isle of Man,relative,,15,0,,Below-Threshold Notification,Other Notifications (Standard),"Where an MNE group does not meet the 750 million euro revenue threshold in Article 1.1 of the OECD Model Rules, Section 35 of the law provides that the Domestic Filing Entity must submit a below-threshold notification to the Tax authority in respect of that Fiscal Year. The filing deadline is the GIR filing deadline.",,,01/01/2025,
IM,Isle of Man,relative,,15,0,,DMTT Return,DMTT Return (Standard),"Section 33 of the law requires the submission of a QDMTT/DTUT tax return by the Domestic Filing Entity of an MNE Group on behalf of all Domestic Constituent Entities, Domestic Joint Ventures and Domestic Joint Venture Subsidiaries. The deadline is the GIR filing deadline.",,,01/01/2025,
IM,Isle of Man,relative,,18,0,,DMTT Return (Transitional Year),DMTT Return (Transitional),"Section 33 of the law requires the submission of a QDMTT/DTUT tax return by the Domestic Filing Entity of an MNE Group on behalf of all Domestic Constituent Entities, Domestic Joint Ventures and Domestic Joint Venture Subsidiaries. The deadline is the GIR filing deadline.",,,01/01/2025,
IM,Isle of Man,relative,,15,0,,GloBE Information Return - Standard,,Standard Filing,,,01/01/2025,
IM,Isle of Man,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),"Yes, Section 31(5) by the GIR filing deadline",,,01/01/2025,
IM,Isle of Man,relative,,18,0,,GloBE Information Return - Transitional,,Only for Transitional Year Filing,,,01/01/2025,
IM,Isle of Man,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),"Yes, Section 31(5) by the GIR filing deadline",,,01/01/2025,
IM,Isle of Man,relative,,15,0,,GloBE Tax Return,GloBE Tax Return (Standard),"Section 34 of the law requires the submission of an IIR/MTUT tax return by the Domestic Filing Entity of an MNE Group on behalf of all Domestic Constituent Entities, Domestic Joint Ventures and Domestic Joint Venture Subsidiaries. The deadline is the GIR filing deadline. Unlike the GIR this is only required for fiscal years where the MTUT is in force.",,,01/01/2025,
IM,Isle of Man,relative,,17,0,,GloBE Tax Return (Transitional),GloBE Tax Return (Transitional),"Section 34 of the law requires the submission of an IIR/MTUT tax return by the Domestic Filing Entity of an MNE Group on behalf of all Domestic Constituent Entities, Domestic Joint Ventures and Domestic Joint Venture Subsidiaries. The deadline is the GIR filing deadline. Unlike the GIR this is only required for fiscal years where the MTUT is in force.",,,01/01/2025,
IM,Isle of Man,relative,,15,0,,Payment,Payment (Standard),Section 59 of the law provides that the DTUT and MTUT for each Entity are due for payment by the deadline for submitting returns.,,,01/01/2025,
IM,Isle of Man,relative,,18,0,,Payment (Transitonal Year),Payment (Transitional),Section 59 of the law provides that the DTUT and MTUT for each Entity are due for payment by the deadline for submitting returns.,,,01/01/2025,
IM,Isle of Man,relative_fy_start,,,365,,Registration,Registration (Standard),"Section 28 of the law requires every Domestic Constituent Entity of a Qualifying MNE Group, Domestic Joint Venture and Domestic Joint Venture Subsidiary to register with the Tax Authority.

A Qualifying MNE Group is required to ensure that one Domestic Constituent Entity is appointed as the Domestic Filing Entity (which must be notified to the Tax Authority). The Domestic Filing Entity is responsible for registering all other Domestic Constituent Entities, Domestic Joint Ventures and Domestic Joint Venture Subsidiaries of the Group.

The deadline for registration is the later of

12 months from the start of the first Fiscal Year commencing on or after 1 January 2025 of the MNE Group of which any of the following is a member:
                 (i) a Domestic Constituent Entity;

                 (ii) a Domestic Joint Venture;

                 (iii) a Domestic Joint Venture Subsidiary;

6 months from the date that such an Entity becomes a member of the MNE Group.",https://www.gov.im/media/1388327/p1-registration-form_compressed.pdf,,01/01/2025,
IT,Italy,relative,,15,0,,GloBE Information Return - Standard,,"Standard Filing

On August 7, 2025, Italy issued its designated entity notification form for GIR filing:

Designated Entity GIR Form - https://www.agenziaentrate.gov.it/portale/documents/20143/9271286/Modello_Notifica_Globe_07_08_2025.pdf/a38ff974-cc5b-0897-9b8c-b244b9ec86d7?t=1754573431677

Designated Entity GIR Form Instructions - https://www.agenziaentrate.gov.it/portale/documents/20143/9271286/Istruzioni_notifica_Globe_07_08_2025.pdf/57b75c33-028e-2b91-21af-6693d8b1403b?t=1754573430379

The GIR designated entity notification form  is submitted electronically via the Italian Revenue Agency by using their  ""NotificaGlobe"" software, available on the Agency's website (www.agenziaentrate.gov.it) starting from the date that will be communicated with a specific notice published on the Italian Revenue website.",https://www.finanze.gov.it/it/archivi/notizie/dettaglio-notizie/Decreto-16-ottobre-2025-del-Vice-Ministro-delleconomia-e-delle-finanze/,,01/01/2024,
IT,Italy,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),"Yes 51(4). On March 6, 2025 a Decree of the Italian Ministry of Finance on Notification Requirements for Global Minimum Tax purposes was published in the Official Gazette.

This provides more details on the double filing relief notification under Article 51(4) of the Global Minimum Tax Law, and as provided in Article 8.1.3 of the OECD Model Rules.

Article 2 of the March Ministerial Decree provides that for financial years beginning on or after December 31, 2023, constituent entities of in-scope MNE groups are exempt from the requirement to file a GIR if a designated local entity is appointed to file the GIR on their behalf or if they notify that a UPE or other designated entity is to file the GIR on their behalf. (providing the UPE or designated entity is located in a jurisdiction that has a qualified competent authority agreement in place for the exchange of information). Excluded entities are not required to be identified.

Under Article 4 of the March Ministerial Decree, the above notification includes the following:

Group Information
Article 5 of the March Ministerial Decree provides that the group information to be provided will include the name of the multinational or domestic group that is filing a single GIR as reported in the consolidated balance sheet for the relevant financial year.
If, in the financial year covered by the relevant communication, the constituent is a member of more than one multinational or domestic groups, a separate notification for each must be made.

Entity Information
Article 6 of the March Ministerial Decree provides that the entity information to be provided will include the tax code of the entity indicated in the notification form.

Contact Details
Article 7 of the March Ministerial Decree provides that the contact details to be provided will include the telephone number, postal address, email address or the designated local entities email address, as well as the type of designated notification entity.

Information on the parent company
Article 8 of the March Ministerial Decree provides that the information on the parent entity to be provided includes the identity and country of origin (using a two-digit alphabetic code based on ISO 3166 – 1 Alpha 2 standard), registered office address, tax code of the parent company and whether the GIR will be transmitted to the Italian tax administration by the country of the UPE. The type of UPE is also required to be notified.

Information about the designated company
Article 9 of the March Ministerial Decree provides that if the GIR is filed through the exchange of information provisions, the notification form requires the information for the designated entity as provided in Article 8 (above).

Information about the designated local entity
Article 10 of the March Ministerial Decree provides that the information to be provided includes the tax code and the role of the company.

Notification reference period
Article 11 of the March Ministerial Decree provides that the reference period is the start and end date of the financial year covered by the GIR to which the notification refers.

Deadline for submitting the notification form
Under Article 12 of the March Ministerial Decree the notification is required to be filed by the 15th month following the last day of the relevant financial year (increased to 18 months in the transitional year).

If there is no subsequent change to the information provided the relevant notification is considered valid in relation to subsequent financial years.

Under Article 14 of the March Ministerial Decree, the Italian Revenue Agency is to issue an Order with 180 days providing the model notification form and transmission methods. This was issued on August 7, 2025.",,,01/01/2024,
IT,Italy,relative,,18,0,,GloBE Information Return - Transitional,,"Only for Transitional Year Filing

On August 7, 2025, Italy issued its designated entity notification form for GIR filing:

Designated Entity GIR Form - https://www.agenziaentrate.gov.it/portale/documents/20143/9271286/Modello_Notifica_Globe_07_08_2025.pdf/a38ff974-cc5b-0897-9b8c-b244b9ec86d7?t=1754573431677

Designated Entity GIR Form Instructions - https://www.agenziaentrate.gov.it/portale/documents/20143/9271286/Istruzioni_notifica_Globe_07_08_2025.pdf/57b75c33-028e-2b91-21af-6693d8b1403b?t=1754573430379

The GIR designated entity notification form  is submitted electronically via the Italian Revenue Agency by using their  ""NotificaGlobe"" software, available on the Agency's website (www.agenziaentrate.gov.it) starting from the date that will be communicated with a specific notice published on the Italian Revenue website.",https://www.finanze.gov.it/it/archivi/notizie/dettaglio-notizie/Decreto-16-ottobre-2025-del-Vice-Ministro-delleconomia-e-delle-finanze/,,01/01/2024,
IT,Italy,relative,,18,0,,Double Filing Relief Notification (Transitional Year),Other Notifications (Transitional),"Yes 51(4). On March 6, 2025 a Decree of the Italian Ministry of Finance on Notification Requirements for Global Minimum Tax purposes was published in the Official Gazette.

This provides more details on the double filing relief notification under Article 51(4) of the Global Minimum Tax Law, and as provided in Article 8.1.3 of the OECD Model Rules.

Article 2 of the March Ministerial Decree provides that for financial years beginning on or after December 31, 2023, constituent entities of in-scope MNE groups are exempt from the requirement to file a GIR if a designated local entity is appointed to file the GIR on their behalf or if they notify that a UPE or other designated entity is to file the GIR on their behalf. (providing the UPE or designated entity is located in a jurisdiction that has a qualified competent authority agreement in place for the exchange of information). Excluded entities are not required to be identified.

Under Article 4 of the March Ministerial Decree, the above notification includes the following:

Group Information
Article 5 of the March Ministerial Decree provides that the group information to be provided will include the name of the multinational or domestic group that is filing a single GIR as reported in the consolidated balance sheet for the relevant financial year.
If, in the financial year covered by the relevant communication, the constituent is a member of more than one multinational or domestic groups, a separate notification for each must be made.

Entity Information
Article 6 of the March Ministerial Decree provides that the entity information to be provided will include the tax code of the entity indicated in the notification form.

Contact Details
Article 7 of the March Ministerial Decree provides that the contact details to be provided will include the telephone number, postal address, email address or the designated local entities email address, as well as the type of designated notification entity.

Information on the parent company
Article 8 of the March Ministerial Decree provides that the information on the parent entity to be provided includes the identity and country of origin (using a two-digit alphabetic code based on ISO 3166 – 1 Alpha 2 standard), registered office address, tax code of the parent company and whether the GIR will be transmitted to the Italian tax administration by the country of the UPE. The type of UPE is also required to be notified.

Information about the designated company
Article 9 of the March Ministerial Decree provides that if the GIR is filed through the exchange of information provisions, the notification form requires the information for the designated entity as provided in Article 8 (above).

Information about the designated local entity
Article 10 of the March Ministerial Decree provides that the information to be provided includes the tax code and the role of the company.

Notification reference period
Article 11 of the March Ministerial Decree provides that the reference period is the start and end date of the financial year covered by the GIR to which the notification refers.

Deadline for submitting the notification form
Under Article 12 of the March Ministerial Decree the notification is required to be filed by the 15th month following the last day of the relevant financial year (increased to 18 months in the transitional year).

If there is no subsequent change to the information provided the relevant notification is considered valid in relation to subsequent financial years.

Under Article 14 of the March Ministerial Decree, the Italian Revenue Agency is to issue an Order with 180 days providing the model notification form and transmission methods. This was issued on August 7, 2025.",,,01/01/2024,
