jurisdiction_code,jurisdiction_name,due_date_mode,due_date,offset_months,offset_days,offset_years,title,category,notes,source_url,fiscal_year_end,effective_from,effective_to
BH,Bahrain,relative,,15,0,,GloBE Information Return - Standard,GloBE Information Return (Standard),Standard Filing,,,01/01/2025,
BH,Bahrain,relative,,18,0,,GloBE Information Return - Transitional,GloBE Information Return (Transitional),Only for Transitional Year Filing,,,01/01/2025,
BH,Bahrain,relative,,15,0,,GloBE Return,GloBE Tax Return (Standard),"Article 21 of the law provides that a Filing Constituent Entity must submit a Tax Return to the Tax Authority for each fiscal year, through the form prescribed in the Regulations. Article 66A of the Regulations provides that this must be filed within 15 months from the last day of the Reporting fiscal year.",,,01/01/2025,
BH,Bahrain,relative_fy_start,,,30,,Registration (Entities in Scope at 01.01.2025),Registration,"Article 62B of the Regulations provide that where the 750 Million Euro threshold is met for at least two of the four fiscal years immediately preceding January 1, 2025, a Filing Constituent Entity must register no later than 30 days from January 1, 2025.

On December 8, 2024, Bahrain updated its registration portal to include a form for QDMTT registration. The functionality can be accessed after logging into the NBR portal on the taxpayer home page.",https://eservices.nbr.gov.bh/sap/bc/ui5_ui5/sap/z_mcf_fmca/index.html#/Logon,,01/01/2025,
BH,Bahrain,relative_fy_start,,,120,,Registration Form,Registration,"Article 17 of the law provides that the Filing Constituent Entity shall register with the Tax Authority in accordance with the rules prescribed by the Regulations. Article 62A of the Regulations requires registration no later than 120 days from the first day of the Transition Year. This is defined as the first fiscal year for which a Multinational Enterprise Group comes within the scope the DMTT, irrespective of whether it had been within scope in any fiscal year other than the immediately preceding fiscal year.

On December 8, 2024, Bahrain updated its registration portal to include a form for QDMTT registration. The functionality can be accessed after logging into the NBR portal on the taxpayer home page.",https://eservices.nbr.gov.bh/sap/bc/ui5_ui5/sap/z_mcf_fmca/index.html#/Logon,,01/01/2025,
BB,Barbados,relative,,12,0,,Registration Form,Registration,Section 45(1) of the Law provides that an in-scope entity is required to register with the tax authority within 12 months after the last day of the first fiscal year that it is a qualifying entity.,https://globalrelations.bra.gov.bb/TopUpTaxRegistration,,01/01/2024,
BE,Belgium,relative,,11,0,,DMTT Return,DMTT Return (Standard),"A QDMTT return is required to be filed under Articles50/52 of the Law, by each constituent entity established in Belgium each year by the last day of the eleventh month following the end of the tax year. Note that the October 2025 Draft Law provides in Articles 27/1 that if there are a number of entities in the group subject to the QDMTT the tax due will be determined via a “joint assessment notice” for all Belgian entities.

On January 6, 2026, Belgium issued an updated Draft QDMTT Return and XSD Schema as well as a Test Environment.",https://aeoixmltools.minfin.fgov.be/pillar2-qdmtt,,01/01/2024,
BE,Belgium,fixed,30/09/2026,,,,DMTT Return (Transitional),DMTT Return (Transitional),"On April 3, 2026, Belgium announced a further extension for filing IIR and QDMTT returns to September 30, 2026.",,31/12/2024,01/01/2024,
BE,Belgium,relative,,15,0,,GloBE Information Return - Standard,GloBE Information Return (Standard),Standard Filing,,,01/01/2024,
BE,Belgium,relative,,15,0,,Double Filing Relief Notification (Standard),Other Notifications (Standard),Yes (Article 54) - same filing deadline as the GIR,,,01/01/2024,
