jurisdiction_code,title,form_template_key,form_template_label,template_category,route_sensitive,qdmtt_context_expected,manual_review_required
UK,GloBE Tax Return,COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
UK,GloBE Tax Return (Transitional),COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
UK,Payment,PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
UK,Payment (Transitional),PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
UK,Registration,REGISTRATION_PORTAL_ACCESS,Registration / portal access,Registration,No,No,No
UY,DMTT Return,QDMTT_RETURN,DMTT / QDMTT return,Return,No,Yes,No
UY,DMTT Return (Transitional),QDMTT_RETURN,DMTT / QDMTT return,Return,No,Yes,No
UY,Payment,PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
UY,Payment (Transitional),PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
VN,DMTT Return,QDMTT_RETURN,DMTT / QDMTT return,Return,No,Yes,No
VN,Designated Entity Notification,OTHER_PILLAR_TWO_NOTIFICATION,Other Pillar Two notification / election,Notification,No,No,Yes
VN,Double Filing Relief Notification (Standard),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
VN,Double Filing Relief Notification (Transitional Year),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
VN,GloBE Information Return - Standard,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
VN,GloBE Information Return - Transitional,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
VN,GloBE Tax Return,COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
VN,GloBE Tax Return (Transitional),COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
VN,Payment,PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
VN,Registration,REGISTRATION_PORTAL_ACCESS,Registration / portal access,Registration,No,No,No
VN,Registration (Transitional),REGISTRATION_PORTAL_ACCESS,Registration / portal access,Registration,No,No,No
