jurisdiction_code,title,form_template_key,form_template_label,template_category,route_sensitive,qdmtt_context_expected,manual_review_required
HK,GloBE Information Return - Transitional,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
HK,GloBE Tax Return (Transitional),COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
HK,GloBETax Return,COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
HK,Payment,PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
HK,Payment (Transitional Year),PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
HK,Registration,REGISTRATION_PORTAL_ACCESS,Registration / portal access,Registration,No,No,No
HU,Double Filing Relief Notification (Standard),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
HU,Double Filing Relief Notification (Transitional Year),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
HU,GloBE Information Return - Standard,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
HU,GloBE Information Return - Transitional,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
HU,GloBE Tax Return,COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
HU,GloBE Tax Return (Transitional),COMBINED_LOCAL_TOP_UP_TAX_RETURN,GloBE / local top-up tax return,Return,No,No,Yes
HU,Payment,PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
HU,Payment (Transitional Year),PAYMENT,Payment / instalment / balancing payment,Payment,No,No,No
HU,QDMTT Advance Payment,QDMTT_RETURN,DMTT / QDMTT return,Return,No,Yes,No
HU,Registration,REGISTRATION_PORTAL_ACCESS,Registration / portal access,Registration,No,No,No
IS,Double Filing Relief Notification (Standard),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
IS,Double Filing Relief Notification (Transitional Year),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
IS,GloBE Information Return - Standard,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
IS,GloBE Information Return - Transitional,LOCAL_GIR_FILING,GloBE Information Return / local GIR filing,GIR filing,Yes,No,No
IN,DMTT Return,QDMTT_RETURN,DMTT / QDMTT return,Return,No,Yes,No
IN,DMTT Return (Transitional),QDMTT_RETURN,DMTT / QDMTT return,Return,No,Yes,No
IN,Double Filing Relief Notification (Standard),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
IN,Double Filing Relief Notification (Transitional Year),FOREIGN_LODGMENT_NOTIFICATION,Foreign lodgment / double filing relief notification,Notification,No,No,No
